run_id,scenario_id,variant_id,scheduler_name,seed,trace_id,trace_sha256,total_requests,completed_requests,rejected_requests,deadline_satisfaction_rate,useful_goodput_requests_per_second,mean_end_to_end_latency_ms,p95_end_to_end_latency_ms,actual_prediction_accuracy,estimated_energy_per_completed_request_units
core-normal-fastest_device-seed-1,normal,fastest_device,fastest_device,1,normal-seed-1,79f852cc030aa6adb8b54cb5e31e6cf22cffbec1a9bd66a40a2823ea31a79b2d,70,70,0,1.0,3.35,73.78920371999995,73.78920372000357,0.9571428571428572,0.6793211299999999
core-normal-fastest_device-seed-2,normal,fastest_device,fastest_device,2,normal-seed-2,bb521b80f903152fd9734d7ae92e72d144417b58e0e814fd90930dfe31432325,82,82,0,1.0,3.95,73.7892037199996,73.78920372000357,0.9634146341463414,0.6793211299999999
core-normal-fastest_device-seed-3,normal,fastest_device,fastest_device,3,normal-seed-3,10b8a266541507b60afec0a1b908761f593b81d47663dac6d55e78ed979ff0c2,78,78,0,1.0,3.8,73.78920372000037,73.78920372000357,0.9743589743589743,0.6793211299999999
core-normal-fastest_device-seed-4,normal,fastest_device,fastest_device,4,normal-seed-4,28dc6f645c54ad6bf341402a82c7ff7fdb2738945163c32c39b5b4b5f75169a4,66,66,0,1.0,3.15,73.78920371999983,73.78920372000357,0.9545454545454546,0.6793211299999999
core-normal-fastest_device-seed-5,normal,fastest_device,fastest_device,5,normal-seed-5,4d8e64932411184fcdcd82eb85451310cd2b54199ff41207ca6b196ac23bb6e9,80,80,0,1.0,3.8,73.78920371999956,73.78920372000357,0.95,0.6793211299999999
core-normal-min_completion-seed-1,normal,min_completion,min_completion,1,normal-seed-1,79f852cc030aa6adb8b54cb5e31e6cf22cffbec1a9bd66a40a2823ea31a79b2d,70,70,0,1.0,3.35,0.615015499999689,0.6150155000000268,0.9571428571428572,0.6150155
core-normal-min_completion-seed-2,normal,min_completion,min_completion,2,normal-seed-2,bb521b80f903152fd9734d7ae92e72d144417b58e0e814fd90930dfe31432325,82,82,0,1.0,3.95,0.6150154999996653,0.6150155000000268,0.9634146341463414,0.6150155
core-normal-min_completion-seed-3,normal,min_completion,min_completion,3,normal-seed-3,10b8a266541507b60afec0a1b908761f593b81d47663dac6d55e78ed979ff0c2,78,78,0,1.0,3.8,0.6171325929730213,0.6150155000000268,0.9743589743589743,0.6150155
core-normal-min_completion-seed-4,normal,min_completion,min_completion,4,normal-seed-4,28dc6f645c54ad6bf341402a82c7ff7fdb2738945163c32c39b5b4b5f75169a4,66,66,0,1.0,3.15,0.6150154999996617,0.6150155000000268,0.9545454545454546,0.6150155
core-normal-min_completion-seed-5,normal,min_completion,min_completion,5,normal-seed-5,4d8e64932411184fcdcd82eb85451310cd2b54199ff41207ca6b196ac23bb6e9,80,80,0,1.0,3.8,0.6181347491932968,0.6150155000000268,0.95,0.6150155
core-normal-round_robin-seed-1,normal,round_robin,round_robin,1,normal-seed-1,79f852cc030aa6adb8b54cb5e31e6cf22cffbec1a9bd66a40a2823ea31a79b2d,70,70,0,1.0,3.35,33.04494347057157,73.78920372000357,0.9571428571428572,0.6734396071428571
core-normal-round_robin-seed-2,normal,round_robin,round_robin,2,normal-seed-2,bb521b80f903152fd9734d7ae92e72d144417b58e0e814fd90930dfe31432325,82,82,0,1.0,3.95,33.11372380560966,73.78920372000016,0.9634146341463414,0.6735635182926829
core-normal-round_robin-seed-3,normal,round_robin,round_robin,3,normal-seed-3,10b8a266541507b60afec0a1b908761f593b81d47663dac6d55e78ed979ff0c2,78,78,0,1.0,3.8,33.514942426666934,73.78920372000357,0.9743589743589743,0.6742863333333333
core-normal-round_robin-seed-4,normal,round_robin,round_robin,4,normal-seed-4,28dc6f645c54ad6bf341402a82c7ff7fdb2738945163c32c39b5b4b5f75169a4,66,66,0,1.0,3.15,33.514942426666785,73.78920372000357,0.9545454545454546,0.6742863333333333
core-normal-round_robin-seed-5,normal,round_robin,round_robin,5,normal-seed-5,4d8e64932411184fcdcd82eb85451310cd2b54199ff41207ca6b196ac23bb6e9,80,80,0,1.0,3.8,33.01151416049986,73.78920372000016,0.95,0.674223398375
